Ticker,Name
SYS.4,SYSTECH RETAIL SYSTEMS INC
EVOL,EVOLVING SYSTEMS INC
APNT.1,APPNET INC
ECLG,ECOLLEGE.COM
CRIO,CORIO INC
VLCT,VALICERT INC
SPWX,SPEECHWORKS INTL INC
LNWX.1,LYNUXWORKS INC
CTTY,CATUITY INC
SPLX.1,SIMPLEX SOLUTIONS INC
DVE.H,DEVSTUDIOS INTL INC
0138B,ANTEON CORP
HIPPQ,HIPCRICKET INC
JMDT,JAMDAT MOBILE INC
LGFTY,LONGTOP FINANCIAL TECH -ADR
UPIN,UNIVERSAL POWER INDUSTRY CP
BOSS.2,LINKAGE TECH INTL  -ADR-REDH
INFY,INFOSYS LTD
SVRTY,SILVERLINE TECHNOLOGIES LTD
ANCPA,ANACOMP INC
CPLXQ,CERPLEX GROUP INC
CTG,COMPUTER TASK GROUP INC
3INFD,INFODATA SYSTEMS INC
EPEDQ,EPICEDGE INC
RATL,RATIONAL SOFTWARE CORP
NOVL,NOVELL INC
SGICQ,SILICON GRAPHICS INC
DDIM,DATA DIMENSIONS INC
3SAZZ,SAZTEC INTERNATIONAL INC
TEAM.1,TECHTEAM GLOBAL INC
LXFT,LUXOFT HOLDING INC
RMNI,RIMINI STREET INC
LGSA,LGS GROUP INC
3667B,SOFTNET TECHNOLOGY CORP
BBOX,BLACK BOX CORP
CATP,CAMBRIDGE TECHNOLOGY PARTNER
3ZMBA,ZAMBA CORP
SVTV,SVT INC
CBRI,CMTSU LIQUIDATION INC
CMSX,COMPUTER MGMT SCIENCES INC
ZANE,ZANETT INC
WYY,WIDEPOINT CORP
NTPL,NETPLEX GROUP INC
INSS,INTERNATIONAL NETWORK SVCS
ONDI,ONTRACK DATA INTL INC
IMRS.1,IMRGLOBAL CORP
THNK.1,THINK NEW IDEAS INC
MISI,METRO INFORMATION SVCS INC
CERO,CONCERO INC
ARSC.1,ARIS CORP/WA
SYNT,SYNTEL INC
SPRI.,SPR INC
NTI.1,NEXXLINK TECHNOLOGIES INC
MTK.Z,MATRIKON INC
SGTB,KUBOO INC
